no,hanja,reading,meaning_ko,category,confidence,source_count,sources,note
240,些,사,적을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 적을
241,仳,비,떠날,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 떠날
242,凄,처,쓸쓸할,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 쓸쓸할
243,堙,인,막을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 막을
244,壅,옹,막을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 막을
245,失,실,잃을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 잃을
246,孑,혈,외로울,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 외로울
247,孤,고,외로울,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 외로울
248,孱,잔,잔약할,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 약할
249,寞,막,쓸쓸할,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 쓸쓸할
250,寡,과,적을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 적을
251,少,소,적을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 적을
252,悗,문,잊어버릴,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 버릴
253,懦,나,나약할,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 약할
254,戢,집,그칠,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 그칠
255,扞,한,막을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 막을
256,抗,항,막을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 막을
257,拌,반,버릴,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 버릴
258,拒,거,막을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 막을
259,捍,한,막을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 막을
260,捐,연,버릴,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 버릴
261,捨,사,버릴,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 버릴
262,捱,애,막을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 막을
263,攔,난/란,막을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 막을
264,无,무,없을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 없을
265,杜,두,막을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 막을
266,棄,기,버릴,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 버릴
267,沮,저,그칠,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 그칠
268,泱,앙,끝없을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 없을
269,淒,처,쓸쓸할,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 쓸쓸할
270,渙,환,흩어질,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 흩어질
271,潰,궤,흩어질,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 흩어질
272,無,무,없을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 없을
273,煢,경,외로울,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 외로울
274,矣,의,말 그칠,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 그칠
275,礙,애,막을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 막을
276,禦,어,막을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 막을
277,窒,질,막을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 막을
278,窶,구,가난하여 예절없을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 없을
279,莫,막,없을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 없을
280,衞,위,막을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 막을
281,趲,찬,놀라 흩어질,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 흩어질
282,踆,준,그칠,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 그칠
283,輟,철,그칠,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 그칠
284,迥,형,막을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 막을
285,遏,알,막을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 막을
286,遮,차,막을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 막을
287,遺,유,잃어버릴,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 버릴
288,闌,난/란,가막을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 막을
289,隔,격,막을,뜻흉함(자동스캔),하,0,hun 키워드 자동 스캔,매칭 키워드: 막을
290,啞,아,벙어리,신체특징(자동스캔),별도(신체특징),0,hun 키워드 자동 스캔,매칭 키워드: 벙어리
291,痀,구,곱사등이,신체특징(자동스캔),별도(신체특징),0,hun 키워드 자동 스캔,매칭 키워드: 곱사등
